# netscan bundled MAC vendor prefixes.
#
# A curated subset of the IEEE OUI registry covering the manufacturers that
# appear on real office and home networks. Format: <OUI>\t<Vendor>.
#
# The full registry is roughly 35 000 entries; bundling it would add about a
# megabyte to every binary to name vendors that are almost never seen. Prefixes
# that are not listed here are reported as an unknown vendor rather than guessed.
#
# To add a vendor, append a line and keep the file sorted by prefix.

d8:cb:8a	Micro-Star
dc:a6:32	Raspberry Pi Trading
dc:a9:71	Intel
e0:4f:43	Ubiquiti Networks
e0:cb:4e	Asustek
e4:5f:01	Raspberry Pi Trading
e8:94:f6	TP-Link
ec:08:6b	TP-Link
f0:9f:c2	Ubiquiti Networks
f0:d5:bf	Intel
f4:5c:89	Apple
f4:8e:38	Dahua Technology
f4:f5:d8	Google
f8:1a:67	TP-Link
fc:ec:da	Ubiquiti Networks
